Sample,Task,Mean Tonic,Max Slope,Num Peaks,Mean Amplitude,Std Amplitude,Total Power,EDASymp Power,subject_id,Mean Tonic_norm,Max Slope_norm,Num Peaks_norm,Mean Amplitude_norm,Std Amplitude_norm,Total Power_norm,EDASymp Power_norm
s19,task3,2.317946097131164,0.0594031206173108,8,0.2498967946920031,0.1403883343652867,0.0084058224218009,0.0052054650329503,s19,0.9999999947442813,0.9999998137643611,0.0,0.999999958745555,0.9999999263189837,0.9999988096202898,0.9999980781550134
s2,rest0,0.1418901477848803,0.0007363976846393,18,0.0097899598813452,0.00625568537059,5.197409031539113e-06,1.7758607019042588e-06,s2,0.0,0.0,0.999999999090909,0.0,0.0,0.0,0.0
s2,task1,0.1471855608461472,0.0031195573999271,9,0.0189826974142437,0.0148405805196265,2.185169726850291e-05,7.183964650469154e-06,s2,0.07801025836279563,0.5430183942873552,0.18181818165289254,0.9999989121859418,0.9999988351647658,0.2787661973137341,0.12447007270541624
s2,task2,0.1811562808358532,0.005125115102272,7,0.0185987379946012,0.0093748552015049,6.493026306997343e-05,4.521489090665295e-05,s2,0.5784555706559849,0.9999977214351569,0.0,0.9582312667384401,0.363331892055321,0.9998326159645208,0.9997698452657544
s2,task3,0.2097711212914338,0.0020457066193433,7,0.0177409650383333,0.0100779278718251,3.2463223722373964e-05,1.378903756390804e-05,s2,0.9999998526833367,0.2983345307442784,0.0,0.8649215186790975,0.4452282739156504,0.4563862093580926,0.27648895281190466
s20,rest0,0.1019760333254254,0.0011015390181133,103,0.003771186258049,0.0007807289919013,6.309938357019965e-07,2.2576079034571847e-07,s20,0.0,0.0,0.9999999998947369,0.0,0.0,0.0,0.0
s20,task1,0.2467450235517297,0.0166133837329075,11,0.0110051174239272,0.0083054942194604,1.1002452777048826e-05,4.373345220417675e-06,s20,0.14292121091400867,0.9999993553317651,0.031578947365096956,0.2955721014634044,0.28750091466566285,0.06937525012935104,0.04820682583443415
s20,task2,0.8440177552225336,0.010720055757934,8,0.0282455130782778,0.0269537321675627,0.0001501189620882,8.625304613903872e-05,s20,0.7325705682996538,0.6200752209629182,0.0,0.9999995914087448,0.9999996179270635,0.9999331094588315,0.9998837713212421
s20,task3,1.1149046803139768,0.0117621997735915,8,0.0233460581563325,0.0098816384681053,4.4534599042321855e-05,2.8395254533920008e-05,s20,0.9999999901276365,0.6872589352781105,0.0,0.7998121478047264,0.34772112080190454,0.2936735911518735,0.3274103039096202
s21,rest0,0.3620358621087459,0.0012680852607155,17,0.0052626567476578,0.0024150742081067,5.031655700569575e-06,3.593790112314215e-06,s21,0.0,0.0,0.999999999090909,0.0,0.0,0.0,0.0
s21,task1,0.5062249547525352,0.0053114292319365,14,0.0183209548119599,0.0132220027474756,0.0001644370170802,8.898769523175522e-05,s21,0.22960219650997596,0.18704881786050767,0.7272727266115702,0.16932336308737672,0.13945265000212242,0.13285517401157568,0.1100359488415184
s21,task2,0.6312053431947536,0.0097001009775765,6,0.0352668109147139,0.0334690110464973,0.0004454327904977,0.0003538907006604,s21,0.42861705388129323,0.39007281676898553,0.0,0.38905562310961,0.400720127771382,0.3670489429714049,0.4513817804033863
s21,task3,0.9900311188592728,0.0228845923682245,12,0.0823831210059181,0.0799103899635113,0.0012048647372033,0.0007796383978881,s21,0.9999999840763131,0.9999995373907854,0.5454545449586776,0.9999998703327477,0.9999998709599592,0.9999916655768124,0.9999871143088388
s22,rest0,0.5477665836971635,0.0102554985999908,6,0.036245338242968,0.0296157219579211,0.0002141693624336,0.0001349201954942,s22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s22,task1,1.1523282294884376,0.0461962622799631,14,0.119307996562798,0.0666344653193759,0.0027951356019641,0.0018603188432155,s22,0.30337405772711756,0.4481092242185928,0.9999999987499999,0.33742906912390375,0.27253944368033156,0.2803049076753621,0.2994324680513821
s22,task2,1.483422045954634,0.0404329944110679,11,0.1102786422377733,0.0681263267500404,0.001845110813676,0.0011854781920469,s22,0.46951968619853796,0.3762528352812122,0.6249999992187499,0.3007487282064302,0.28352282797275474,0.1771278081489293,0.18231796701263114
s22,task3,2.5405593995592626,0.0904608531350444,8,0.2824086435005798,0.165444650556897,0.0094218691415277,0.0058971398526509,s22,0.9999999949819169,0.9999998753200605,0.24999999968749997,0.9999999593765627,0.9999999263779862,0.9999989139536063,0.9999982645606658
s23,rest0,3.1468342439214134,0.00987979329718,9,0.0389260185595561,0.0359166684461988,0.0004819757963802,0.0003347874718576,s23,0.9999999371307652,0.0,0.39999999973333333,0.0,0.0,0.0,0.0
s23,task1,3.0867419297130527,0.0867606944066089,8,0.2814493631916754,0.2493852242704531,0.0068740714893188,0.0040986560385849,s23,0.6222041558889444,0.6855953836099585,0.3333333331111111,0.45034632786338524,0.9999999531546954,0.9999984355702987,0.9999973431661456
s23,task2,2.987773943584341,0.0576826244667581,18,0.1299720572251234,0.0704414456114464,0.0015201559739453,0.0006412615537625,s23,0.0,0.42628793237869,0.9999999993333333,0.16906516459989376,0.16173237044029878,0.16241599051029218,0.0814250716306663
s23,task3,3.095541665752209,0.1220172085881985,3,0.5774523151528452,0.1468235407860938,0.0049909372616218,0.0024843619122508,s23,0.677527423022701,0.9999999108237061,0.0,0.9999999814308049,0.5195466222938093,0.7053953238324389,0.571106214582863
s24,rest0,0.2516328965659117,0.0006284099785972,15,0.0079174692236958,0.0047471354002105,1.2539239305288198e-06,3.876319529507517e-07,s24,0.12897998358072196,0.0,0.874999999453125,0.0,0.2849421605633021,0.0,0.0
s24,task1,0.1967060270517051,0.0135731516940527,1,0.4291866600709344,0.0,0.0005412793961373,0.0002069034812478,s24,0.0,0.8365962706838621,0.0,0.9999999762622096,0.0,0.9999814826978695,0.6125617503881755
s24,task2,0.3285659549797954,0.0071344101068355,17,0.0288938508868177,0.0123785155917259,0.0001369458071188,7.675599918174599e-05,s24,0.30963518382786054,0.4204715369372178,0.999999999375,0.049793295168351015,0.7430082944582742,0.2512647597643676,0.22652179415618606
s24,task3,0.6225617815613252,0.0161015047115098,8,0.0287287234604403,0.016659986508856,0.0004629458486985,0.0003375123765954,s24,0.999999976517871,0.9999993537172938,0.4374999997265625,0.04940131914436136,0.999999399759778,0.8549288862106387,0.9999703382693155
s25,rest0,0.2207466495077224,0.0017732140135095,9,0.0061951561144117,0.0036519832270683,1.1175529666981283e-06,5.427322870989646e-07,s25,0.0,0.034026207320599425,0.3636363633057851,0.0,0.0,0.0,0.0
s25,task1,0.2877323423538097,0.0016408475130764,16,0.011447589969929,0.0112664047057851,2.1769966286557084e-05,8.343798201207604e-06,s25,0.30720214578293675,0.0,0.999999999090909,0.15679740609091666,0.32735495240991924,0.7449559935067822,0.7513512868398188
s25,task2,0.3456211993301591,0.005530971349796,9,0.0184153239457862,0.0138821691304081,2.0919046626118813e-05,7.762384088380216e-06,s25,0.572685420262419,0.9999974293943551,0.3636363633057851,0.3648005230836882,0.43981043456722235,0.7142623553726518,0.6953530108773468
s25,task3,0.4387975019955714,0.0054705933502991,5,0.0396933651632125,0.0269124170439741,2.8830550700618543e-05,1.0915446805257174e-05,s25,0.9999999541391403,0.9844766267610414,0.0,0.999999701476667,0.999999570085589,0.999639288647787,0.9990368607378628
s26,rest0,1.8331420319350789,0.1130731579803855,4,0.6541919010010269,0.4155114283435669,0.0304567700302689,0.0185112755276919,s26,0.7835852778091911,0.725130684391334,0.0,0.9999999819700558,0.9999999724319053,0.4650335424846666,0.3979692683833768
s26,task1,2.094932583909167,0.1024472537925412,6,0.5150817482264796,0.3923247140483873,0.0229500003684109,0.0161360510370042,s26,0.9696459445478324,0.6324876700528927,0.24999999968749997,0.7491851538247541,0.9360786188265192,0.34291924358342674,0.34378491966826713
s26,task2,0.7306240952204379,0.0299026217987804,12,0.0995590218563778,0.0527732767220043,0.0018696207784559,0.001065899229542,s26,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0
