Sample,Task,Mean Tonic,Max Slope,Num Peaks,Mean Amplitude,Std Amplitude,Total Power,EDASymp Power,subject_id,Mean Tonic_norm,Max Slope_norm
s24,task2,0.3285659549797954,0.0071344101068355,17,0.0288938508868177,0.0123785155917259,0.0002255333165189,7.943477542405994e-05,s24,0.30963518382786054,0.4204715369372178
s24,task3,0.6225617815613252,0.0161015047115098,8,0.0287287234604403,0.016659986508856,0.0012950586613661,0.0003314349493063,s24,0.999999976517871,0.9999993537172938
s25,rest0,0.2207466495077224,0.0017732140135095,9,0.0061951561144117,0.0036519832270683,1.0398209511527526e-05,9.087392447215838e-07,s25,0.0,0.034026207320599425
s25,task1,0.2877323423538097,0.0016408475130764,16,0.011447589969929,0.0112664047057851,2.5426321091956148e-05,7.709575835138265e-06,s25,0.30720214578293675,0.0
s25,task2,0.3456211993301591,0.005530971349796,9,0.0184153239457862,0.0138821691304081,0.0001873310325841,7.787779126835493e-05,s25,0.572685420262419,0.9999974293943551
s25,task3,0.4387975019955714,0.0054705933502991,5,0.0396933651632125,0.0269124170439741,3.8648975017250944e-05,1.0055274322219284e-05,s25,0.9999999541391403,0.9844766267610414
s26,rest0,1.8331420319350789,0.1130731579803855,4,0.6541919010010269,0.4155114283435669,0.0938227053238178,0.0282099414875674,s26,0.7835852778091911,0.725130684391334
s26,task1,2.094932583909167,0.1024472537925412,6,0.5150817482264796,0.3923247140483873,0.0401364092803942,0.0197188875301708,s26,0.9696459445478324,0.6324876700528927
s26,task2,0.7306240952204379,0.0299026217987804,12,0.0995590218563778,0.0527732767220043,0.0041563057286756,0.0013194038518719,s26,0.0,0.0
s26,task3,2.137641250980809,0.1445999180525041,10,0.5941515606385389,0.2003543694975925,0.1038200637007284,0.0427086202013774,s26,0.9999999928927662,0.9999999128139944
s27,rest0,1.06128117991303,0.0182434588563626,4,0.0857901229245461,0.0358305248593649,0.0014537352368123,0.0004153936998857,s27,0.11098623047226026,0.008126922895311183
s27,task1,1.0041815168080026,0.0232855840143139,14,0.1077091804070362,0.0746956599052159,0.0059000434868552,0.0024335418781287,s27,0.09586751246791679,0.01608832449677071
s27,task2,0.6421136044980816,0.0130965055385364,17,0.0796318015151253,0.0413711524923182,0.0028433690033062,0.0012632686213574,s27,0.0,0.0
s27,task3,4.4188665631441735,0.6464177887423548,13,0.631617463678571,0.5131858041584534,0.1191446348542181,0.0359644065705758,s27,0.9999999973522229,0.9999999842102261
s28,rest0,0.3496979042991441,0.0013110246136957,42,0.0050895859281589,0.0015734608718899,1.528328644112919e-05,6.798648131479895e-06,s28,0.9112413570347827,0.0
s28,task1,0.3232616781111325,0.0134603037642727,6,0.0430948252863006,0.0298688131760809,0.0002887918705611,0.0001058973810972,s28,0.7286564435335251,0.9701669428443405
s28,task2,0.217760483159055,0.0058292429066101,8,0.05366519375965,0.0773744315768257,0.0002839799937512,0.0001078542053867,s28,0.0,0.3607972106009234
s28,task3,0.3625491398734576,0.0138338894036341,1,0.7267633983760954,0.0,0.0007532950907598,0.0003095455682165,s28,0.9999999309338209,0.9999992014613124
s29,rest0,0.8799186726542565,0.0070420785891663,10,0.0169867258387923,0.010771034648212,0.0001692751887491,5.055822562141905e-05,s29,0.0,0.0
s29,task1,1.2162819445218145,0.0433634922487411,2,0.2432068908925851,0.0988244942364018,0.0052042160907028,0.0017904794569979,s29,0.23798414460042108,0.3469921350709349
s29,task2,1.509280578456658,0.0244063676511367,9,0.1086966138240492,0.1047868180666876,0.0034515318943867,0.0009277923818327,s29,0.44528688868102706,0.1658875888497707
s29,task3,2.2933038796917904,0.111717102944483,10,0.2616318110635175,0.158225531232576,0.0251367974463908,0.0081300025409504,s29,0.999999992924788,0.9999999044662363
s3,rest0,0.5019790253173629,0.0009420290695515,98,0.0062043775436492,0.0015607656294462,4.579340984599709e-06,5.445179874110359e-07,s3,0.018284685462647863,0.0
s3,task1,0.4794208708088804,0.0057239274300967,12,0.0269903032689847,0.0204061944499175,0.0002354714965215,8.747832851246631e-05,s3,0.0,0.20764172198347175
s3,task2,0.9491928478865364,0.0079390203903003,14,0.0793472388987427,0.0638911792288904,0.0019916937072941,0.0008592843732075,s3,0.3807772855178027,0.30382647580532035
s3,task3,1.7131393491342364,0.0239715832383838,13,0.1737276426895499,0.0993428956928204,0.0041647634795878,0.0011305046323332,s3,0.9999999918944232,0.9999995657755427
