hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
64,0.85,100,0.001,population,30,6,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5640763985604272,0.5640763985604272,116,29,snnTorch,257,tonic,2,6
32,0.85,50,0.005,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5632075471698113,0.5632075471698114,116,29,snnTorch,171,tonic,2,6
32,0.9,200,0.0005,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5623349618835654,0.5623349618835654,116,29,snnTorch,210,tonic,2,6
64,0.9,50,0.005,population,30,6,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5612878254750175,0.5612878254750175,116,29,snnTorch,278,tonic,2,6
8,0.85,100,0.005,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5609649122807018,0.5609649122807018,116,29,snnTorch,18,tonic,2,6
64,0.95,200,0.001,population,30,4,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5577554770723864,0.5577554770723863,116,29,snnTorch,319,tonic,2,6
8,0.95,200,0.005,population,30,6,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5525957219851785,0.5525957219851786,116,29,snnTorch,80,tonic,2,6
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965516,0.5562714669010069,0.5562714669010069,116,29,snnTorch,315,tonic,2,6
64,0.85,100,0.001,population,30,4,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.561952226012286,0.5619522260122861,116,29,snnTorch,256,tonic,2,6
64,0.95,100,0.0005,population,30,10,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.5586845988302099,0.55868459883021,116,29,snnTorch,309,tonic,2,6
64,0.95,200,0.0005,population,30,10,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.5573666308628714,0.5573666308628714,116,29,snnTorch,318,tonic,2,6
64,0.9,100,0.0005,population,30,6,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.5560611756664389,0.5560611756664389,116,29,snnTorch,281,tonic,2,6
64,0.9,200,0.001,population,30,6,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.5497806945463974,0.5497806945463974,116,29,snnTorch,293,tonic,2,6
16,0.95,200,0.005,population,30,6,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.5493193290542481,0.5493193290542481,116,29,snnTorch,161,tonic,2,6
16,0.85,100,0.005,population,30,6,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.5485574457509516,0.5485574457509516,116,29,snnTorch,98,tonic,2,6
32,0.95,200,0.001,population,30,6,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.545207183365537,0.5452071833655371,116,29,snnTorch,239,tonic,2,6
8,0.95,200,0.005,population,30,4,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.531593079361234,0.5315930793612339,116,29,snnTorch,79,tonic,2,6
32,0.85,100,0.005,population,30,4,3,0.25,0.0001,0.5689655172413793,0.5689655172413792,0.5566714990886507,0.5566714990886507,116,29,snnTorch,178,tonic,2,6
64,0.95,100,0.005,population,30,6,3,0.25,0.0001,0.5689655172413793,0.5689655172413792,0.556617333168085,0.556617333168085,116,29,snnTorch,314,tonic,2,6
8,0.95,200,0.005,population,30,10,3,0.25,0.0001,0.5689655172413793,0.5689655172413792,0.5485659565657063,0.5485659565657063,116,29,snnTorch,81,tonic,2,6
32,0.95,100,0.005,population,30,10,3,0.25,0.0001,0.5689655172413793,0.5689655172413792,0.5423772272924815,0.5423772272924815,116,29,snnTorch,234,tonic,2,6
32,0.85,200,0.0005,population,30,6,3,0.25,0.0001,0.5603448275862069,0.560344827586207,0.5582595950520479,0.5582595950520479,116,29,snnTorch,182,tonic,2,6
64,0.95,100,0.001,population,30,6,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.5488514476907174,0.5488514476907174,116,29,snnTorch,311,tonic,2,6
16,0.85,100,0.005,population,30,4,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.5484469234469235,0.5484469234469235,116,29,snnTorch,97,tonic,2,6
32,0.85,200,0.0005,population,30,10,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.5477506519849319,0.5477506519849319,116,29,snnTorch,183,tonic,2,6
32,0.9,100,0.001,population,30,10,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.5464200107729599,0.5464200107729599,116,29,snnTorch,204,tonic,2,6
32,0.9,100,0.005,population,30,6,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.544668749499319,0.5446687494993191,116,29,snnTorch,206,tonic,2,6
16,0.9,200,0.001,population,30,6,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.5434935434935435,0.5434935434935435,116,29,snnTorch,131,tonic,2,6
64,0.85,50,0.005,population,30,6,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.542495126705653,0.542495126705653,116,29,snnTorch,251,tonic,2,6
32,0.9,50,0.005,population,30,6,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.5299842883822963,0.5299842883822963,116,29,snnTorch,197,tonic,2,6
64,0.95,50,0.005,population,30,10,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.5299618859401468,0.5299618859401468,116,29,snnTorch,306,tonic,2,6
16,0.95,200,0.005,population,30,4,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5412106639529785,0.5412106639529785,116,29,snnTorch,160,tonic,2,6
16,0.9,200,0.001,population,30,4,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5345415349340625,0.5345415349340625,116,29,snnTorch,130,tonic,2,6
32,0.9,200,0.005,population,30,4,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5321959149562226,0.5321959149562226,116,29,snnTorch,214,tonic,2,6
32,0.95,50,0.005,population,30,10,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5321851121033929,0.5321851121033929,116,29,snnTorch,225,tonic,2,6
16,0.9,100,0.005,population,30,6,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5316817289529242,0.5316817289529242,116,29,snnTorch,125,tonic,2,6
64,0.95,200,0.005,population,30,4,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.529817731885401,0.5298177318854009,116,29,snnTorch,322,tonic,2,6
8,0.9,100,0.005,population,30,10,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5275160653448782,0.5275160653448782,116,29,snnTorch,45,tonic,2,6
8,0.85,100,0.005,population,30,6,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.52526286966046,0.52526286966046,116,29,snnTorch,17,tonic,2,6
32,0.95,200,0.005,population,30,4,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5241520796593929,0.524152079659393,116,29,snnTorch,241,tonic,2,6
