hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
8,0.9,100,0.001,population,30,10,3,0.25,0.0001,0.3706896551724138,0.3706896551724138,0.36261623325453113,0.36261623325453113,116,29,snnTorch,42,tonic,2,6
8,0.95,200,0.0005,population,30,10,3,0.25,0.0001,0.3706896551724138,0.3706896551724138,0.3601401553529213,0.36014015535292127,116,29,snnTorch,75,tonic,2,6
8,0.9,100,0.001,population,30,6,3,0.25,0.0001,0.3620689655172414,0.36206896551724144,0.3454148508496334,0.34541485084963347,116,29,snnTorch,41,tonic,2,6
8,0.9,200,0.0005,population,30,10,3,0.25,0.0001,0.3620689655172414,0.3620689655172414,0.35512646793134595,0.355126467931346,116,29,snnTorch,48,tonic,2,6
8,0.85,200,0.0005,population,30,6,3,0.25,0.0001,0.3620689655172414,0.3620689655172414,0.34233823762062965,0.3423382376206297,116,29,snnTorch,20,tonic,2,6
16,0.85,100,0.001,population,30,6,3,0.25,0.0001,0.3620689655172414,0.3620689655172414,0.31789533995416347,0.31789533995416347,116,29,snnTorch,95,tonic,2,6
16,0.85,100,0.001,population,30,4,3,0.25,0.0001,0.3620689655172414,0.3620689655172414,0.3046430519834775,0.3046430519834775,116,29,snnTorch,94,tonic,2,6
8,0.85,100,0.001,population,30,6,3,0.25,0.0001,0.3620689655172414,0.3620689655172413,0.3379207064586174,0.3379207064586173,116,29,snnTorch,14,tonic,2,6
8,0.95,100,0.001,population,30,10,3,0.25,0.0001,0.35344827586206895,0.35344827586206895,0.33561068730340715,0.33561068730340715,116,29,snnTorch,69,tonic,2,6
8,0.95,50,0.005,population,30,4,3,0.25,0.0001,0.35344827586206895,0.35344827586206895,0.2824640251110839,0.2824640251110839,116,29,snnTorch,61,tonic,2,6
8,0.95,200,0.001,population,30,4,3,0.25,0.0001,0.3448275862068966,0.3448275862068966,0.2860688956433637,0.2860688956433637,116,29,snnTorch,76,tonic,2,6
8,0.9,200,0.0005,population,30,6,3,0.25,0.0001,0.3448275862068966,0.3448275862068965,0.3344154267014368,0.3344154267014368,116,29,snnTorch,47,tonic,2,6
8,0.95,100,0.001,population,30,6,3,0.25,0.0001,0.33620689655172414,0.33620689655172414,0.3237106163220005,0.3237106163220005,116,29,snnTorch,68,tonic,2,6
8,0.9,100,0.001,population,30,4,3,0.25,0.0001,0.33620689655172414,0.33620689655172414,0.3009029598788536,0.3009029598788536,116,29,snnTorch,40,tonic,2,6
16,0.85,100,0.0005,population,30,6,3,0.25,0.0001,0.33620689655172414,0.33620689655172414,0.2901459548927491,0.2901459548927491,116,29,snnTorch,92,tonic,2,6
8,0.85,200,0.0005,population,30,4,3,0.25,0.0001,0.33620689655172414,0.3362068965517241,0.30317130906416623,0.30317130906416623,116,29,snnTorch,19,tonic,2,6
8,0.9,200,0.0005,population,30,4,3,0.25,0.0001,0.3275862068965517,0.3275862068965517,0.31329619488244737,0.3132961948824473,116,29,snnTorch,46,tonic,2,6
8,0.95,100,0.001,population,30,4,3,0.25,0.0001,0.3275862068965517,0.3275862068965517,0.3092722092722093,0.3092722092722093,116,29,snnTorch,67,tonic,2,6
16,0.9,100,0.001,population,30,4,3,0.25,0.0001,0.3275862068965517,0.3275862068965517,0.2794850950174788,0.2794850950174788,116,29,snnTorch,121,tonic,2,6
8,0.9,100,0.0005,population,30,6,3,0.25,0.0001,0.31896551724137934,0.31896551724137934,0.30815049760235186,0.30815049760235186,116,29,snnTorch,38,tonic,2,6
8,0.85,100,0.0005,population,30,10,3,0.25,0.0001,0.31896551724137934,0.31896551724137934,0.3021881378871978,0.3021881378871978,116,29,snnTorch,12,tonic,2,6
16,0.85,50,0.001,population,30,6,3,0.25,0.0001,0.31896551724137934,0.31896551724137934,0.251498485573091,0.251498485573091,116,29,snnTorch,86,tonic,2,6
16,0.85,50,0.001,population,30,10,3,0.25,0.0001,0.31896551724137934,0.31896551724137934,0.23374582494865465,0.23374582494865465,116,29,snnTorch,87,tonic,2,6
8,0.95,200,0.0005,population,30,4,3,0.25,0.0001,0.3103448275862069,0.3103448275862069,0.2930995329917163,0.29309953299171626,116,29,snnTorch,73,tonic,2,6
8,0.95,100,0.0005,population,30,10,3,0.25,0.0001,0.3103448275862069,0.3103448275862069,0.2907217954617862,0.2907217954617862,116,29,snnTorch,66,tonic,2,6
16,0.9,50,0.001,population,30,10,3,0.25,0.0001,0.3103448275862069,0.3103448275862069,0.2721424774056353,0.27214247740563524,116,29,snnTorch,114,tonic,2,6
16,0.9,50,0.001,population,30,6,3,0.25,0.0001,0.3103448275862069,0.31034482758620685,0.26803040516387333,0.26803040516387333,116,29,snnTorch,113,tonic,2,6
8,0.9,50,0.001,population,30,6,3,0.25,0.0001,0.3017241379310345,0.30172413793103453,0.2864039158712493,0.28640391587124936,116,29,snnTorch,32,tonic,2,6
16,0.9,100,0.0005,population,30,4,3,0.25,0.0001,0.3017241379310345,0.30172413793103453,0.2648213913457816,0.2648213913457816,116,29,snnTorch,118,tonic,2,6
8,0.85,100,0.001,population,30,4,3,0.25,0.0001,0.3017241379310345,0.30172413793103453,0.25812141099261693,0.25812141099261693,116,29,snnTorch,13,tonic,2,6
8,0.95,100,0.0005,population,30,4,3,0.25,0.0001,0.3017241379310345,0.3017241379310345,0.2908166278559617,0.29081662785596163,116,29,snnTorch,64,tonic,2,6
8,0.95,50,0.001,population,30,10,3,0.25,0.0001,0.3017241379310345,0.3017241379310345,0.28386915551032954,0.28386915551032954,116,29,snnTorch,60,tonic,2,6
16,0.85,100,0.0005,population,30,10,3,0.25,0.0001,0.3017241379310345,0.3017241379310345,0.2515667818420112,0.2515667818420112,116,29,snnTorch,93,tonic,2,6
16,0.9,50,0.001,population,30,4,3,0.25,0.0001,0.3017241379310345,0.3017241379310345,0.25028191422443286,0.25028191422443286,116,29,snnTorch,112,tonic,2,6
16,0.85,100,0.0005,population,30,4,3,0.25,0.0001,0.3017241379310345,0.3017241379310345,0.22518720018720018,0.22518720018720018,116,29,snnTorch,91,tonic,2,6
8,0.85,50,0.001,population,30,10,3,0.25,0.0001,0.29310344827586204,0.2931034482758621,0.2762200760721353,0.2762200760721352,116,29,snnTorch,6,tonic,2,6
16,0.9,100,0.0005,population,30,10,3,0.25,0.0001,0.29310344827586204,0.2931034482758621,0.2580747275557862,0.2580747275557862,116,29,snnTorch,120,tonic,2,6
