hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
32,0.9,50,0.001,population,30,6,3,0.25,0.4482758620689655,0.4482758620689655,0.4031119980648282,0.4031119980648282,116,29,113,7,21
64,0.85,100,0.0005,population,30,4,3,0.25,0.4482758620689655,0.4482758620689655,0.426308610400682,0.426308610400682,116,29,172,7,21
16,0.9,100,0.001,population,30,6,3,0.25,0.4482758620689655,0.4482758620689655,0.41345439691027924,0.41345439691027924,116,29,41,7,21
16,0.95,50,0.005,population,30,4,3,0.25,0.4396551724137931,0.4396551724137931,0.37699913929422124,0.37699913929422124,116,29,61,7,21
64,0.9,50,0.0005,population,30,4,3,0.25,0.43103448275862066,0.43103448275862066,0.39484126984126977,0.3948412698412698,116,29,190,7,21
16,0.95,200,0.0005,population,30,4,3,0.25,0.4224137931034483,0.4224137931034483,0.3748336714932685,0.37483367149326857,116,29,73,7,21
32,0.95,50,0.001,population,30,6,3,0.25,0.4224137931034483,0.4224137931034483,0.3787880604171661,0.3787880604171662,116,29,140,7,21
32,0.85,50,0.001,population,30,6,3,0.25,0.4224137931034483,0.4224137931034483,0.38392117716651875,0.3839211771665188,116,29,86,7,21
16,0.95,100,0.001,population,30,4,3,0.25,0.4224137931034483,0.4224137931034483,0.35478791317917435,0.35478791317917435,116,29,67,7,21
32,0.85,50,0.001,population,30,4,3,0.25,0.4224137931034483,0.4224137931034483,0.3958409450736816,0.39584094507368167,116,29,85,7,21
64,0.85,50,0.001,population,30,4,3,0.25,0.4224137931034483,0.4224137931034483,0.39494149893634434,0.39494149893634434,116,29,166,7,21
16,0.9,200,0.0005,population,30,4,3,0.25,0.4224137931034483,0.42241379310344823,0.38044033822598033,0.3804403382259803,116,29,46,7,21
32,0.9,100,0.0005,population,30,4,3,0.25,0.41379310344827586,0.41379310344827586,0.3758763679890561,0.3758763679890561,116,29,118,7,21
32,0.85,100,0.0005,population,30,4,3,0.25,0.4051724137931034,0.4051724137931035,0.3712189492633242,0.37121894926332416,116,29,91,7,21
16,0.9,100,0.0005,population,30,10,3,0.25,0.4051724137931034,0.4051724137931035,0.36110488988428524,0.3611048898842852,116,29,39,7,21
64,0.95,50,0.0005,population,30,10,3,0.25,0.4051724137931034,0.4051724137931034,0.3709325201652567,0.3709325201652568,116,29,219,7,21
64,0.95,50,0.0005,population,30,6,3,0.25,0.4051724137931034,0.4051724137931034,0.36426212286308635,0.36426212286308635,116,29,218,7,21
