hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
32,0.85,100,0.001,population,30,6,3,0.25,0.5172413793103449,0.5172413793103448,0.4944944390673152,0.4944944390673152,116,29,95,7,21
64,0.95,50,0.005,population,30,4,3,0.25,0.5172413793103449,0.5172413793103448,0.4923444690917189,0.492344469091719,116,29,223,7,21
32,0.95,200,0.0005,population,30,6,3,0.25,0.5172413793103449,0.5172413793103448,0.5003162253162252,0.5003162253162252,116,29,155,7,21
32,0.9,100,0.001,population,30,10,3,0.25,0.5172413793103449,0.5172413793103448,0.5030578898225957,0.5030578898225957,116,29,123,7,21
32,0.85,200,0.0005,population,30,4,3,0.25,0.5086206896551724,0.5086206896551725,0.49164947920445723,0.4916494792044572,116,29,100,7,21
16,0.85,200,0.0005,population,30,10,3,0.25,0.5086206896551724,0.5086206896551725,0.4783549783549783,0.47835497835497837,116,29,21,7,21
64,0.95,100,0.0005,population,30,4,3,0.25,0.5086206896551724,0.5086206896551724,0.4737491141813852,0.4737491141813852,116,29,226,7,21
64,0.9,50,0.001,population,30,6,3,0.25,0.5086206896551724,0.5086206896551724,0.4750337663394217,0.47503376633942174,116,29,194,7,21
32,0.95,50,0.005,population,30,10,3,0.25,0.5086206896551724,0.5086206896551724,0.4738362285409409,0.4738362285409409,116,29,144,7,21
32,0.95,100,0.0005,population,30,10,3,0.25,0.5086206896551724,0.5086206896551724,0.4679971988795518,0.4679971988795519,116,29,147,7,21
64,0.9,100,0.0005,population,30,4,3,0.25,0.5086206896551724,0.5086206896551724,0.46556839603311206,0.46556839603311206,116,29,199,7,21
16,0.95,50,0.005,population,30,6,3,0.25,0.5,0.5,0.4585823215214605,0.4585823215214605,116,29,62,7,21
16,0.9,100,0.001,population,30,10,3,0.25,0.5,0.5,0.46975215484678323,0.4697521548467833,116,29,42,7,21
16,0.85,200,0.0005,population,30,6,3,0.25,0.5,0.5,0.48548079879325917,0.48548079879325917,116,29,20,7,21
16,0.85,100,0.001,population,30,10,3,0.25,0.5,0.5,0.4816403834260977,0.4816403834260977,116,29,15,7,21
32,0.85,100,0.0005,population,30,6,3,0.25,0.49137931034482757,0.4913793103448276,0.4636136712749616,0.46361367127496156,116,29,92,7,21
16,0.9,200,0.0005,population,30,6,3,0.25,0.49137931034482757,0.4913793103448276,0.465021645021645,0.46502164502164506,116,29,47,7,21
64,0.85,100,0.0005,population,30,6,3,0.25,0.49137931034482757,0.49137931034482757,0.46517575706405495,0.46517575706405495,116,29,173,7,21
64,0.95,50,0.001,population,30,4,3,0.25,0.49137931034482757,0.49137931034482757,0.4473109857978279,0.44731098579782785,116,29,220,7,21
64,0.95,50,0.001,population,30,10,3,0.25,0.4827586206896552,0.48275862068965525,0.44074471894020767,0.4407447189402077,116,29,222,7,21
64,0.9,50,0.001,population,30,10,3,0.25,0.4827586206896552,0.48275862068965514,0.4548572883369636,0.4548572883369636,116,29,195,7,21
16,0.85,50,0.005,population,30,4,3,0.25,0.4827586206896552,0.48275862068965514,0.445211038961039,0.445211038961039,116,29,7,7,21
16,0.9,200,0.0005,population,30,10,3,0.25,0.4827586206896552,0.48275862068965514,0.45234788678155385,0.4523478867815539,116,29,48,7,21
32,0.95,50,0.001,population,30,10,3,0.25,0.4827586206896552,0.48275862068965514,0.4320769352645269,0.43207693526452684,116,29,141,7,21
32,0.85,100,0.0005,population,30,10,3,0.25,0.47413793103448276,0.4741379310344828,0.43597406148677675,0.43597406148677686,116,29,93,7,21
16,0.95,100,0.001,population,30,10,3,0.25,0.47413793103448276,0.47413793103448276,0.44454168285825313,0.44454168285825313,116,29,69,7,21
16,0.95,200,0.0005,population,30,6,3,0.25,0.47413793103448276,0.47413793103448276,0.4336596850341158,0.4336596850341157,116,29,74,7,21
16,0.85,100,0.001,population,30,6,3,0.25,0.47413793103448276,0.47413793103448276,0.45964912280701753,0.45964912280701753,116,29,14,7,21
32,0.85,50,0.001,population,30,10,3,0.25,0.47413793103448276,0.47413793103448276,0.4354959065324919,0.43549590653249187,116,29,87,7,21
32,0.95,100,0.0005,population,30,6,3,0.25,0.47413793103448276,0.47413793103448276,0.42517382165090145,0.4251738216509015,116,29,146,7,21
32,0.9,100,0.001,population,30,4,3,0.25,0.47413793103448276,0.47413793103448276,0.4354241464876365,0.43542414648763655,116,29,121,7,21
32,0.9,100,0.0005,population,30,10,3,0.25,0.47413793103448276,0.4741379310344827,0.4414231601731602,0.4414231601731602,116,29,120,7,21
32,0.95,100,0.001,population,30,4,3,0.25,0.46551724137931033,0.46551724137931033,0.40940656565656564,0.4094065656565657,116,29,148,7,21
64,0.85,100,0.0005,population,30,4,3,0.25,0.45689655172413796,0.4568965517241379,0.4338339920948616,0.4338339920948617,116,29,172,7,21
32,0.85,100,0.001,population,30,4,3,0.25,0.4482758620689655,0.4482758620689655,0.4227645416598905,0.42276454165989047,116,29,94,7,21
16,0.9,200,0.0005,population,30,4,3,0.25,0.4482758620689655,0.4482758620689655,0.41123378108964925,0.41123378108964925,116,29,46,7,21
16,0.85,200,0.0005,population,30,4,3,0.25,0.4396551724137931,0.4396551724137931,0.4118699341438703,0.4118699341438703,116,29,19,7,21
64,0.85,50,0.001,population,30,4,3,0.25,0.4396551724137931,0.43965517241379304,0.41150664811379095,0.411506648113791,116,29,166,7,21
16,0.95,100,0.001,population,30,6,3,0.25,0.43103448275862066,0.43103448275862066,0.3786897277762413,0.3786897277762413,116,29,68,7,21
64,0.9,50,0.001,population,30,4,3,0.25,0.43103448275862066,0.43103448275862066,0.37675941080196396,0.37675941080196396,116,29,193,7,21
32,0.9,100,0.0005,population,30,6,3,0.25,0.43103448275862066,0.43103448275862066,0.37548802225990174,0.3754880222599017,116,29,119,7,21
32,0.95,50,0.001,population,30,4,3,0.25,0.4224137931034483,0.4224137931034483,0.36458864524902257,0.3645886452490226,116,29,139,7,21
32,0.95,50,0.001,population,30,6,3,0.25,0.4224137931034483,0.4224137931034483,0.37290449240762513,0.37290449240762513,116,29,140,7,21
16,0.95,200,0.0005,population,30,4,3,0.25,0.4224137931034483,0.4224137931034483,0.37380512166033997,0.37380512166034,116,29,73,7,21
32,0.85,100,0.0005,population,30,4,3,0.25,0.4224137931034483,0.4224137931034483,0.3762030880099501,0.37620308800995006,116,29,91,7,21
16,0.9,100,0.0005,population,30,10,3,0.25,0.4224137931034483,0.4224137931034483,0.3866735488027645,0.38667354880276456,116,29,39,7,21
64,0.9,50,0.0005,population,30,6,3,0.25,0.41379310344827586,0.4137931034482759,0.38384305689239395,0.38384305689239406,116,29,191,7,21
64,0.9,50,0.0005,population,30,10,3,0.25,0.41379310344827586,0.4137931034482759,0.38037102017092544,0.38037102017092544,116,29,192,7,21
32,0.9,50,0.001,population,30,10,3,0.25,0.41379310344827586,0.4137931034482759,0.3520472923303112,0.35204729233031123,116,29,114,7,21
16,0.9,100,0.001,population,30,6,3,0.25,0.41379310344827586,0.4137931034482759,0.38460401891252954,0.38460401891252954,116,29,41,7,21
32,0.9,100,0.0005,population,30,4,3,0.25,0.41379310344827586,0.41379310344827586,0.36518593061146254,0.36518593061146254,116,29,118,7,21
64,0.85,50,0.001,population,30,6,3,0.25,0.41379310344827586,0.41379310344827586,0.38807150767283655,0.38807150767283655,116,29,167,7,21
32,0.9,50,0.001,population,30,6,3,0.25,0.4051724137931034,0.4051724137931035,0.34570081289420407,0.34570081289420407,116,29,113,7,21
64,0.95,50,0.0005,population,30,6,3,0.25,0.4051724137931034,0.4051724137931034,0.35248446091701996,0.35248446091701996,116,29,218,7,21
